,Description,Measure,"Fatty acids, total polyunsaturated(g)Per Measure","Fiber, total dietary(g)Per 100 g","Fatty acids, total saturated(g)Per Measure","Carbohydrate, by difference(g)Per Measure","Sugars, total(g)Per Measure",Protein(g)Per Measure,"Sodium, Na(mg)Per Measure","Magnesium, Mg(mg)Per Measure","Phosphorus, P(mg)Per Measure","Calcium, Ca(mg)Per Measure","Manganese, Mn(mg)Per Measure","Potassium, K(mg)Per Measure","Selenium, Se(Âµg)Per Measure","Iron, Fe(mg)Per Measure","Fluoride, F(Âµg)Per Measure","Zinc, Zn(mg)Per Measure",Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (Âµg) Per Measure,Vitamin D2 (ergocalciferol) (Âµg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (Âµg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(Âµg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
115,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,
116,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,
117,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,
118,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,
119,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,
120,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,
121,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,
122,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,70.6,,,,,,,,,,,,,,,
123,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,48.5,,,,,,,,,,,,,,,
124,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,
125,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,
126,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,28.7,,,,,,,,,,,,,,,
127,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
128,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
129,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,
130,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
131,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,
132,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,
133,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,
134,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,
135,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,
136,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,
137,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,
138,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,
139,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,
140,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,
141,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,
142,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,4.07,,,,,,,,,,,,
143,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,
144,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,
145,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,
146,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,
147,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,
148,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,
149,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,
150,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,
