,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
78,"Tomato products, canned, sauce, with onions, green peppers, and celery",1.0 cups,0.485,,,,,,,,,,,
79,"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",4.0 oz,0.478,,,,,,,,,,,
80,"Chicken, broilers or fryers, light meat, meat only, raw",1.0 unit (yield from 1 lb ready-to-cook chicken),0.475,,,,,,,,,,,
81,"Game meat , bison, top sirloin, separable lean only, 1"" steak, cooked, broiled",1.0 serving ( 3 oz ),0.473,,,,,,,,,,,
82,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,0.473,,,,,,,,,,,
83,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",3.0 oz,0.471,,,,,,,,,,,
84,"Desserts, mousse, chocolate, prepared-from-recipe",1.0 recipe yield,0.469,,,,,,,,,,,
85,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",3.0 oz,0.468,,,,,,,,,,,
86,"Pork, fresh, loin, blade (chops), boneless, separable lean only, boneless, cooked, broiled",3.0 oz,0.459,,,,,,,,,,,
87,"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled",3.0 oz,0.456,,,,,,,,,,,
88,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",3.0 oz,0.454,,,,,,,,,,,
89,"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, broiled",3.0 oz,0.454,,,,,,,,,,,
90,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",4.0 oz,0.453,,,,,,,,,,,
91,"Cereals ready-to-eat, granola, homemade",1.0 cups,0.451,,,,,,,,,,,
92,"Potatoes, mashed, dehydrated, flakes without milk, dry form",1.0 cups,0.449,,,,,,,,,,,
93,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",4.0 oz,0.441,,,,,,,,,,,
94,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean only, cooked, roasted",3.0 oz,0.439,,,,,,,,,,,
95,"Pork, cured, ham, rump, bone-in, separable lean only, unheated",3.0 oz,0.437,,,,,,,,,,,
96,"Potatoes, scalloped, home-prepared with butter",1.0 cups,0.436,,,,,,,,,,,
97,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",4.0 oz,0.433,,,,,,,,,,,
98,"Currants, zante, dried",1.0 cups,0.426,,,,,,,,,,,
99,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",3.0 oz,0.422,,,,,,,,,,,
100,"Turkey, all classes, back, meat and skin, cooked, roasted","1.0 cups, chopped or diced",0.42,,,,,,,,,,,
101,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",3.0 oz,0.414,,,,,,,,,,,
102,"Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",1.0 steak,0.408,,,,,,,,,,,
103,"Beef, chuck, top blade, separable lean only, trimmed to 0"" fat, select, cooked, broiled",3.0 oz,0.406,,,,,,,,,,,
104,"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",3.0 oz,0.406,,,,,,,,,,,
105,"Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, broiled",1.0 serving ( 3 oz ),0.404,,,,,,,,,,,
106,"Pasta, fresh-refrigerated, spinach, as purchased",4.0 oz,0.403,,,,,,,,,,,
107,"Pork, cured, ham, rump, bone-in, separable lean and fat, unheated",3.0 oz,0.401,,,,,,,,,,,
108,"Guinea hen, meat only, raw",3.0 oz,0.399,,,,,,,,,,,
109,"Game meat, elk, ground, cooked, pan-broiled",1.0 patty ( yield from 104.1 g raw meat ),0.399,,,,,,,,,,,
110,"Pork, cured, ham, shank, bone-in, separable lean only, unheated",3.0 oz,0.397,,,,,,,,,,,
111,"Game meat, elk, round, separable lean only, cooked, broiled",1.0 serving ( 3 oz ),0.396,,,,,,,,,,,
112,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",3.0 oz,0.394,,,,,,,,,,,
113,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, with added solution, cooked, braised",3.0 oz,0.394,,,,,,,,,,,
114,"Sorghum flour, whole-grain",1.0 cups,0.393,,,,,,,,,,,
115,"Fish, seatrout, mixed species, cooked, dry heat",3.0 oz,0.393,,,,,,,,,,,
116,"Fish, mahimahi, cooked, dry heat",3.0 oz,0.393,,,,,,,,,,,
117,"Fish, salmon, chum, cooked, dry heat",3.0 oz,0.393,,,,,,,,,,,
118,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8"" fat, cooked, roasted",3.0 oz,0.391,,,,,,,,,,,
119,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,0.391,,,,,,,,,,,
120,"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, cooked, roasted",3.0 oz,0.391,,,,,,,,,,,
121,"Game meat, bison, chuck, shoulder clod, separable lean only, cooked, braised",1.0 serving ( 3 oz ),0.389,,,,,,,,,,,
